date,1/N,Standard,Autoencoder
2011-06-30,0.01548939250621753,0.0004297927199857449,0.0007405650041383944
2011-07-01,0.0073335031545459116,0.0014972633201194695,0.0006752653138655041
2011-07-04,0.011249116232213186,0.0029632809144611804,0.0002775099106839331
2011-07-05,4.9319633157088614e-05,0.0012775652430493125,-0.0004786112726898753
2011-07-06,-0.013861752206598535,-0.0022018312530653716,-0.00038762756166157243
2011-07-07,0.009590176552858265,0.0005456148967863391,0.0006559161704741782
2011-07-08,-0.013969232039940728,-0.001241950297362817,-0.001085843520847054
2011-07-11,-0.036675958732846264,-0.008650848914919676,-0.0016325394372211789
2011-07-12,-0.006779305941449435,-0.0023364717326808124,-0.0003536518409869979
2011-07-13,0.021340557317108176,0.003784624065703805,0.001077502789734303
2011-07-14,-0.008200123932797822,3.151954988437553e-05,-0.0003057231592129468
2011-07-15,-0.0036835362236598934,-0.0005618720014876484,-4.4700203023444236e-05
2011-07-18,-0.020789261155050642,-0.003149494350658869,-0.0009147053321224964
2011-07-19,0.02293878325139351,0.006986254252682629,0.0006927178675383624
2011-07-20,0.00736604750353482,0.0013568974737049023,0.00031767579011617963
2011-07-21,0.017657289373915058,0.0023110103646572814,0.0007696494861280145
2011-07-22,0.002639598367362647,-8.358858714326673e-05,0.0007196116889310927
2011-07-25,0.00018507674501089675,0.000855533829885715,-0.0003340309371221006
2011-07-26,0.006571647148368753,0.0013866123400219708,0.0006557092130190615
2011-07-27,-0.018688736562616184,-0.001815802578344258,-0.0009458763518212163
2011-07-28,-0.015996192236503098,-0.002524749116482338,-0.0005704706406174953
2011-07-29,0.002403738575134763,0.0018432171308841174,1.9605056191995457e-05
2011-08-01,-0.021569223768293518,-0.0037866974958778265,-0.0008806837601121424
2011-08-02,-0.02771130471775828,-0.003366524796907196,-0.0012402949010573918
2011-08-03,-0.011618007192425093,-0.002205653067787627,0.0001408195873337987
2011-08-04,-0.050562967505296756,-0.012400129707553368,-0.001824222599170648
2011-08-05,-0.0034878673960192187,-0.0008856916422778953,-0.0016762446201245736
2011-08-08,-0.0639690126426391,-0.014010727833531834,-0.001916063177767588
2011-08-09,0.033284555183843656,0.0064854404553000965,0.0008745115259270004
2011-08-10,-0.011141543504393656,-0.001725415849071934,0.0006223609345001895
2011-08-11,0.03078552619344072,0.005349158881932683,0.00012807136562647357
2011-08-12,0.017937632708281033,0.00263005536744113,0.0005466428529792281
2011-08-15,0.026487919719379048,0.009125922608612917,0.0019363029262140304
2011-08-16,-0.02558082633501722,-0.004724891220149922,-0.0010556762428718621
2011-08-17,-0.0013654108410586596,0.0019079209113883934,-0.00029298934170057193
2011-08-18,-0.04598519765419969,-0.008940094247759501,-0.0013783416461592018
2011-08-19,-0.007370912274784489,0.000671708168391479,-0.00014657394536238413
2011-08-22,-0.004620543454828503,-0.0016574735208233922,0.0005933481160000368
2011-08-23,0.014452602267602543,0.002740118911773986,2.4601418538340962e-05
2011-08-24,0.015065267959870473,0.0031659699758327916,0.0007230419484545312
2011-08-25,-0.010437065297690262,-0.0019652115886031746,-0.0007164237677415172
